lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_loss_epoch,valid_mse_epoch,valid_mae_epoch,valid_corr_nino3.4_epoch,valid_corr_nino3.4_weighted_epoch,valid_nino_rmse_epoch,test_mse_epoch,test_mae_epoch,test_corr_nino3.4_epoch,test_corr_nino3.4_weighted_epoch,test_nino_rmse_epoch
4.890274466654442e-07,4.890274466654442e-07,80,,,,,,,,,,,,,
4.890274466654442e-07,4.890274466654442e-07,80,,,,,,,,,,,,,
,,80,0.49338749051094055,0,,,,,,,,,,,
9.841677364142062e-07,9.841677364142062e-07,161,,,,,,,,,,,,,
9.841677364142062e-07,9.841677364142062e-07,161,,,,,,,,,,,,,
,,161,0.13368265330791473,0,,,,,,,,,,,
1.4793080261629684e-06,1.4793080261629684e-06,242,,,,,,,,,,,,,
1.4793080261629684e-06,1.4793080261629684e-06,242,,,,,,,,,,,,,
,,242,0.03525096923112869,0,,,,,,,,,,,
1.9744483159117307e-06,1.9744483159117307e-06,323,,,,,,,,,,,,,
1.9744483159117307e-06,1.9744483159117307e-06,323,,,,,,,,,,,,,
,,323,0.016846079379320145,0,,,,,,,,,,,
2.4695886056604927e-06,2.4695886056604927e-06,404,,,,,,,,,,,,,
2.4695886056604927e-06,2.4695886056604927e-06,404,,,,,,,,,,,,,
,,404,0.010786195285618305,0,,,,,,,,,,,
2.964728895409255e-06,2.964728895409255e-06,485,,,,,,,,,,,,,
2.964728895409255e-06,2.964728895409255e-06,485,,,,,,,,,,,,,
,,485,0.007783100940287113,0,,,,,,,,,,,
3.459869185158017e-06,3.459869185158017e-06,566,,,,,,,,,,,,,
3.459869185158017e-06,3.459869185158017e-06,566,,,,,,,,,,,,,
,,566,0.005870543420314789,0,,,,,,,,,,,
3.95500947490678e-06,3.95500947490678e-06,647,,,,,,,,,,,,,
3.95500947490678e-06,3.95500947490678e-06,647,,,,,,,,,,,,,
,,647,0.004755351226776838,0,,,,,,,,,,,
4.450149764655541e-06,4.450149764655541e-06,728,,,,,,,,,,,,,
4.450149764655541e-06,4.450149764655541e-06,728,,,,,,,,,,,,,
,,728,0.003801831044256687,0,,,,,,,,,,,
4.945290054404304e-06,4.945290054404304e-06,809,,,,,,,,,,,,,
4.945290054404304e-06,4.945290054404304e-06,809,,,,,,,,,,,,,
,,809,0.003167997347190976,0,,,,,,,,,,,
5.440430344153065e-06,5.440430344153065e-06,890,,,,,,,,,,,,,
5.440430344153065e-06,5.440430344153065e-06,890,,,,,,,,,,,,,
,,890,0.0027057144325226545,1,,,,,,,,,,,
5.935570633901828e-06,5.935570633901828e-06,971,,,,,,,,,,,,,
5.935570633901828e-06,5.935570633901828e-06,971,,,,,,,,,,,,,
,,971,0.0023299111053347588,1,,,,,,,,,,,
6.43071092365059e-06,6.43071092365059e-06,1052,,,,,,,,,,,,,
6.43071092365059e-06,6.43071092365059e-06,1052,,,,,,,,,,,,,
,,1052,0.002051082905381918,1,,,,,,,,,,,
6.925851213399352e-06,6.925851213399352e-06,1133,,,,,,,,,,,,,
6.925851213399352e-06,6.925851213399352e-06,1133,,,,,,,,,,,,,
,,1133,0.0018048095516860485,1,,,,,,,,,,,
7.420991503148114e-06,7.420991503148114e-06,1214,,,,,,,,,,,,,
7.420991503148114e-06,7.420991503148114e-06,1214,,,,,,,,,,,,,
,,1214,0.0016117640770971775,1,,,,,,,,,,,
7.916131792896876e-06,7.916131792896876e-06,1295,,,,,,,,,,,,,
7.916131792896876e-06,7.916131792896876e-06,1295,,,,,,,,,,,,,
,,1295,0.0014963896246626973,1,,,,,,,,,,,
8.41127208264564e-06,8.41127208264564e-06,1376,,,,,,,,,,,,,
8.41127208264564e-06,8.41127208264564e-06,1376,,,,,,,,,,,,,
,,1376,0.0014085964066907763,1,,,,,,,,,,,
8.906412372394401e-06,8.906412372394401e-06,1457,,,,,,,,,,,,,
8.906412372394401e-06,8.906412372394401e-06,1457,,,,,,,,,,,,,
,,1457,0.0012528313091024756,1,,,,,,,,,,,
9.401552662143163e-06,9.401552662143163e-06,1538,,,,,,,,,,,,,
9.401552662143163e-06,9.401552662143163e-06,1538,,,,,,,,,,,,,
,,1538,0.001169424271211028,1,,,,,,,,,,,
9.896692951891926e-06,9.896692951891926e-06,1619,,,,,,,,,,,,,
9.896692951891926e-06,9.896692951891926e-06,1619,,,,,,,,,,,,,
,,1619,0.0010566930286586285,1,,,,,,,,,,,
1.0391833241640688e-05,1.0391833241640688e-05,1700,,,,,,,,,,,,,
1.0391833241640688e-05,1.0391833241640688e-05,1700,,,,,,,,,,,,,
,,1700,0.0010164100676774979,2,,,,,,,,,,,
1.0886973531389449e-05,1.0886973531389449e-05,1781,,,,,,,,,,,,,
1.0886973531389449e-05,1.0886973531389449e-05,1781,,,,,,,,,,,,,
,,1781,0.0009813314536586404,2,,,,,,,,,,,
1.1382113821138211e-05,1.1382113821138211e-05,1862,,,,,,,,,,,,,
1.1382113821138211e-05,1.1382113821138211e-05,1862,,,,,,,,,,,,,
,,1862,0.0008609541109763086,2,,,,,,,,,,,
1.1877254110886975e-05,1.1877254110886975e-05,1943,,,,,,,,,,,,,
1.1877254110886975e-05,1.1877254110886975e-05,1943,,,,,,,,,,,,,
,,1943,0.0008913690107874572,2,,,,,,,,,,,
1.2372394400635738e-05,1.2372394400635738e-05,2024,,,,,,,,,,,,,
1.2372394400635738e-05,1.2372394400635738e-05,2024,,,,,,,,,,,,,
,,2024,0.0008743494399823248,2,,,,,,,,,,,
1.2867534690384497e-05,1.2867534690384497e-05,2105,,,,,,,,,,,,,
1.2867534690384497e-05,1.2867534690384497e-05,2105,,,,,,,,,,,,,
,,2105,0.0008914481149986386,2,,,,,,,,,,,
1.336267498013326e-05,1.336267498013326e-05,2186,,,,,,,,,,,,,
1.336267498013326e-05,1.336267498013326e-05,2186,,,,,,,,,,,,,
,,2186,0.000805695541203022,2,,,,,,,,,,,
1.3857815269882025e-05,1.3857815269882025e-05,2267,,,,,,,,,,,,,
1.3857815269882025e-05,1.3857815269882025e-05,2267,,,,,,,,,,,,,
,,2267,0.0007569563458673656,2,,,,,,,,,,,
1.4352955559630785e-05,1.4352955559630785e-05,2348,,,,,,,,,,,,,
1.4352955559630785e-05,1.4352955559630785e-05,2348,,,,,,,,,,,,,
,,2348,0.0008032714249566197,2,,,,,,,,,,,
1.4848095849379548e-05,1.4848095849379548e-05,2429,,,,,,,,,,,,,
1.4848095849379548e-05,1.4848095849379548e-05,2429,,,,,,,,,,,,,
,,2429,0.000712598382961005,2,,,,,,,,,,,
1.534323613912831e-05,1.534323613912831e-05,2510,,,,,,,,,,,,,
1.534323613912831e-05,1.534323613912831e-05,2510,,,,,,,,,,,,,
,,2510,0.0006858676206320524,3,,,,,,,,,,,
1.5838376428877072e-05,1.5838376428877072e-05,2591,,,,,,,,,,,,,
1.5838376428877072e-05,1.5838376428877072e-05,2591,,,,,,,,,,,,,
,,2591,0.000643017643596977,3,,,,,,,,,,,
1.633351671862583e-05,1.633351671862583e-05,2672,,,,,,,,,,,,,
1.633351671862583e-05,1.633351671862583e-05,2672,,,,,,,,,,,,,
,,2672,0.0006454932736232877,3,,,,,,,,,,,
1.6828657008374597e-05,1.6828657008374597e-05,2753,,,,,,,,,,,,,
1.6828657008374597e-05,1.6828657008374597e-05,2753,,,,,,,,,,,,,
,,2753,0.0006998692988418043,3,,,,,,,,,,,
1.732379729812336e-05,1.732379729812336e-05,2834,,,,,,,,,,,,,
1.732379729812336e-05,1.732379729812336e-05,2834,,,,,,,,,,,,,
,,2834,0.0006706907879561186,3,,,,,,,,,,,
1.781893758787212e-05,1.781893758787212e-05,2915,,,,,,,,,,,,,
1.781893758787212e-05,1.781893758787212e-05,2915,,,,,,,,,,,,,
,,2915,0.0006240687798708677,3,,,,,,,,,,,
1.8314077877620884e-05,1.8314077877620884e-05,2996,,,,,,,,,,,,,
1.8314077877620884e-05,1.8314077877620884e-05,2996,,,,,,,,,,,,,
,,2996,0.0006878093117848039,3,,,,,,,,,,,
1.8809218167369643e-05,1.8809218167369643e-05,3077,,,,,,,,,,,,,
1.8809218167369643e-05,1.8809218167369643e-05,3077,,,,,,,,,,,,,
,,3077,0.0006747235311195254,3,,,,,,,,,,,
1.9304358457118406e-05,1.9304358457118406e-05,3158,,,,,,,,,,,,,
1.9304358457118406e-05,1.9304358457118406e-05,3158,,,,,,,,,,,,,
,,3158,0.0006891645607538521,3,,,,,,,,,,,
1.9799498746867168e-05,1.9799498746867168e-05,3239,,,,,,,,,,,,,
1.9799498746867168e-05,1.9799498746867168e-05,3239,,,,,,,,,,,,,
,,3239,0.0006502773030661047,3,,,,,,,,,,,
2.029463903661593e-05,2.029463903661593e-05,3320,,,,,,,,,,,,,
2.029463903661593e-05,2.029463903661593e-05,3320,,,,,,,,,,,,,
,,3320,0.0005808969726786017,4,,,,,,,,,,,
2.0789779326364696e-05,2.0789779326364696e-05,3401,,,,,,,,,,,,,
2.0789779326364696e-05,2.0789779326364696e-05,3401,,,,,,,,,,,,,
,,3401,0.0005514914519153535,4,,,,,,,,,,,
2.1284919616113455e-05,2.1284919616113455e-05,3482,,,,,,,,,,,,,
2.1284919616113455e-05,2.1284919616113455e-05,3482,,,,,,,,,,,,,
,,3482,0.0005564436432905495,4,,,,,,,,,,,
2.1780059905862217e-05,2.1780059905862217e-05,3563,,,,,,,,,,,,,
2.1780059905862217e-05,2.1780059905862217e-05,3563,,,,,,,,,,,,,
,,3563,0.0006236329209059477,4,,,,,,,,,,,
2.227520019561098e-05,2.227520019561098e-05,3644,,,,,,,,,,,,,
2.227520019561098e-05,2.227520019561098e-05,3644,,,,,,,,,,,,,
,,3644,0.000594055512920022,4,,,,,,,,,,,
2.2770340485359742e-05,2.2770340485359742e-05,3725,,,,,,,,,,,,,
2.2770340485359742e-05,2.2770340485359742e-05,3725,,,,,,,,,,,,,
,,3725,0.0007086999248713255,4,,,,,,,,,,,
2.3265480775108505e-05,2.3265480775108505e-05,3806,,,,,,,,,,,,,
2.3265480775108505e-05,2.3265480775108505e-05,3806,,,,,,,,,,,,,
,,3806,0.0005645295605063438,4,,,,,,,,,,,
2.3760621064857267e-05,2.3760621064857267e-05,3887,,,,,,,,,,,,,
2.3760621064857267e-05,2.3760621064857267e-05,3887,,,,,,,,,,,,,
,,3887,0.0005604588659480214,4,,,,,,,,,,,
2.425576135460603e-05,2.425576135460603e-05,3968,,,,,,,,,,,,,
2.425576135460603e-05,2.425576135460603e-05,3968,,,,,,,,,,,,,
,,3968,0.0006001873407512903,4,,,,,,,,,,,
2.4750901644354792e-05,2.4750901644354792e-05,4049,,,,,,,,,,,,,
2.4750901644354792e-05,2.4750901644354792e-05,4049,,,,,,,,,,,,,
,,4049,0.00048549773055128753,4,,,,,,,,,,,
,,4089,,4,-0.013937918469309807,0.0003590275882743299,0.01322263665497303,0.013937918469309807,-0.36187130212783813,0.7534353733062744,,,,,
2.5246041934103554e-05,2.5246041934103554e-05,4130,,,,,,,,,,,,,
2.5246041934103554e-05,2.5246041934103554e-05,4130,,,,,,,,,,,,,
,,4130,0.0005085967131890357,5,,,,,,,,,,,
2.5741182223852316e-05,2.5741182223852316e-05,4211,,,,,,,,,,,,,
2.5741182223852316e-05,2.5741182223852316e-05,4211,,,,,,,,,,,,,
,,4211,0.0005671503022313118,5,,,,,,,,,,,
2.6236322513601075e-05,2.6236322513601075e-05,4292,,,,,,,,,,,,,
2.6236322513601075e-05,2.6236322513601075e-05,4292,,,,,,,,,,,,,
,,4292,0.0004446319944690913,5,,,,,,,,,,,
2.6731462803349838e-05,2.6731462803349838e-05,4373,,,,,,,,,,,,,
2.6731462803349838e-05,2.6731462803349838e-05,4373,,,,,,,,,,,,,
,,4373,0.0005226865177974105,5,,,,,,,,,,,
2.72266030930986e-05,2.72266030930986e-05,4454,,,,,,,,,,,,,
2.72266030930986e-05,2.72266030930986e-05,4454,,,,,,,,,,,,,
,,4454,0.0004975436604581773,5,,,,,,,,,,,
2.7721743382847366e-05,2.7721743382847366e-05,4535,,,,,,,,,,,,,
2.7721743382847366e-05,2.7721743382847366e-05,4535,,,,,,,,,,,,,
,,4535,0.0005220756866037846,5,,,,,,,,,,,
2.8216883672596128e-05,2.8216883672596128e-05,4616,,,,,,,,,,,,,
2.8216883672596128e-05,2.8216883672596128e-05,4616,,,,,,,,,,,,,
,,4616,0.0005124423187226057,5,,,,,,,,,,,
2.8712023962344887e-05,2.8712023962344887e-05,4697,,,,,,,,,,,,,
2.8712023962344887e-05,2.8712023962344887e-05,4697,,,,,,,,,,,,,
,,4697,0.0005063139251433313,5,,,,,,,,,,,
2.920716425209365e-05,2.920716425209365e-05,4778,,,,,,,,,,,,,
2.920716425209365e-05,2.920716425209365e-05,4778,,,,,,,,,,,,,
,,4778,0.0005009304150007665,5,,,,,,,,,,,
2.9702304541842412e-05,2.9702304541842412e-05,4859,,,,,,,,,,,,,
2.9702304541842412e-05,2.9702304541842412e-05,4859,,,,,,,,,,,,,
,,4859,0.00048422053805552423,5,,,,,,,,,,,
3.0197444831591178e-05,3.0197444831591178e-05,4940,,,,,,,,,,,,,
3.0197444831591178e-05,3.0197444831591178e-05,4940,,,,,,,,,,,,,
,,4940,0.0004576501087285578,6,,,,,,,,,,,
3.069258512133993e-05,3.069258512133993e-05,5021,,,,,,,,,,,,,
3.069258512133993e-05,3.069258512133993e-05,5021,,,,,,,,,,,,,
,,5021,0.0005906762089580297,6,,,,,,,,,,,
