lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_mse_step,valid_mae_step,valid_ssim_step,valid_loss_epoch,valid_mse_epoch,valid_mae_epoch,valid_ssim_epoch,test_mse_step,test_mae_step,test_ssim_step,test_mse_epoch,test_mae_epoch,test_ssim_epoch
4.88e-06,4.88e-06,61,,,,,,,,,,,,,,,
4.88e-06,4.88e-06,61,,,,,,,,,,,,,,,
4.88e-06,4.88e-06,61,,,,,,,,,,,,,,,
4.88e-06,4.88e-06,61,,,,,,,,,,,,,,,
4.88e-06,4.88e-06,61,,,,,,,,,,,,,,,
4.88e-06,4.88e-06,61,,,,,,,,,,,,,,,
4.88e-06,4.88e-06,61,,,,,,,,,,,,,,,
4.88e-06,4.88e-06,61,,,,,,,,,,,,,,,
,,61,0.04656176269054413,0,,,,,,,,,,,,,
9.84e-06,9.84e-06,123,,,,,,,,,,,,,,,
9.84e-06,9.84e-06,123,,,,,,,,,,,,,,,
9.84e-06,9.84e-06,123,,,,,,,,,,,,,,,
9.84e-06,9.84e-06,123,,,,,,,,,,,,,,,
9.84e-06,9.84e-06,123,,,,,,,,,,,,,,,
9.84e-06,9.84e-06,123,,,,,,,,,,,,,,,
9.84e-06,9.84e-06,123,,,,,,,,,,,,,,,
9.84e-06,9.84e-06,123,,,,,,,,,,,,,,,
,,123,0.016441013664007187,0,,,,,,,,,,,,,
1.48e-05,1.48e-05,185,,,,,,,,,,,,,,,
1.48e-05,1.48e-05,185,,,,,,,,,,,,,,,
1.48e-05,1.48e-05,185,,,,,,,,,,,,,,,
1.48e-05,1.48e-05,185,,,,,,,,,,,,,,,
1.48e-05,1.48e-05,185,,,,,,,,,,,,,,,
1.48e-05,1.48e-05,185,,,,,,,,,,,,,,,
1.48e-05,1.48e-05,185,,,,,,,,,,,,,,,
1.48e-05,1.48e-05,185,,,,,,,,,,,,,,,
,,185,0.0169371347874403,0,,,,,,,,,,,,,
1.976e-05,1.976e-05,247,,,,,,,,,,,,,,,
1.976e-05,1.976e-05,247,,,,,,,,,,,,,,,
1.976e-05,1.976e-05,247,,,,,,,,,,,,,,,
1.976e-05,1.976e-05,247,,,,,,,,,,,,,,,
1.976e-05,1.976e-05,247,,,,,,,,,,,,,,,
1.976e-05,1.976e-05,247,,,,,,,,,,,,,,,
1.976e-05,1.976e-05,247,,,,,,,,,,,,,,,
1.976e-05,1.976e-05,247,,,,,,,,,,,,,,,
,,247,0.015675079077482224,0,,,,,,,,,,,,,
2.472e-05,2.472e-05,309,,,,,,,,,,,,,,,
2.472e-05,2.472e-05,309,,,,,,,,,,,,,,,
2.472e-05,2.472e-05,309,,,,,,,,,,,,,,,
2.472e-05,2.472e-05,309,,,,,,,,,,,,,,,
2.472e-05,2.472e-05,309,,,,,,,,,,,,,,,
2.472e-05,2.472e-05,309,,,,,,,,,,,,,,,
2.472e-05,2.472e-05,309,,,,,,,,,,,,,,,
2.472e-05,2.472e-05,309,,,,,,,,,,,,,,,
,,309,0.014143574051558971,0,,,,,,,,,,,,,
2.9680000000000004e-05,2.9680000000000004e-05,371,,,,,,,,,,,,,,,
2.9680000000000004e-05,2.9680000000000004e-05,371,,,,,,,,,,,,,,,
2.9680000000000004e-05,2.9680000000000004e-05,371,,,,,,,,,,,,,,,
2.9680000000000004e-05,2.9680000000000004e-05,371,,,,,,,,,,,,,,,
2.9680000000000004e-05,2.9680000000000004e-05,371,,,,,,,,,,,,,,,
2.9680000000000004e-05,2.9680000000000004e-05,371,,,,,,,,,,,,,,,
2.9680000000000004e-05,2.9680000000000004e-05,371,,,,,,,,,,,,,,,
2.9680000000000004e-05,2.9680000000000004e-05,371,,,,,,,,,,,,,,,
,,371,0.017769962549209595,0,,,,,,,,,,,,,
3.464e-05,3.464e-05,433,,,,,,,,,,,,,,,
3.464e-05,3.464e-05,433,,,,,,,,,,,,,,,
3.464e-05,3.464e-05,433,,,,,,,,,,,,,,,
3.464e-05,3.464e-05,433,,,,,,,,,,,,,,,
3.464e-05,3.464e-05,433,,,,,,,,,,,,,,,
3.464e-05,3.464e-05,433,,,,,,,,,,,,,,,
3.464e-05,3.464e-05,433,,,,,,,,,,,,,,,
3.464e-05,3.464e-05,433,,,,,,,,,,,,,,,
,,433,0.011934935115277767,0,,,,,,,,,,,,,
3.960000000000001e-05,3.960000000000001e-05,495,,,,,,,,,,,,,,,
3.960000000000001e-05,3.960000000000001e-05,495,,,,,,,,,,,,,,,
3.960000000000001e-05,3.960000000000001e-05,495,,,,,,,,,,,,,,,
3.960000000000001e-05,3.960000000000001e-05,495,,,,,,,,,,,,,,,
3.960000000000001e-05,3.960000000000001e-05,495,,,,,,,,,,,,,,,
3.960000000000001e-05,3.960000000000001e-05,495,,,,,,,,,,,,,,,
3.960000000000001e-05,3.960000000000001e-05,495,,,,,,,,,,,,,,,
3.960000000000001e-05,3.960000000000001e-05,495,,,,,,,,,,,,,,,
,,495,0.01600625179708004,0,,,,,,,,,,,,,
4.456e-05,4.456e-05,557,,,,,,,,,,,,,,,
4.456e-05,4.456e-05,557,,,,,,,,,,,,,,,
4.456e-05,4.456e-05,557,,,,,,,,,,,,,,,
4.456e-05,4.456e-05,557,,,,,,,,,,,,,,,
4.456e-05,4.456e-05,557,,,,,,,,,,,,,,,
4.456e-05,4.456e-05,557,,,,,,,,,,,,,,,
4.456e-05,4.456e-05,557,,,,,,,,,,,,,,,
4.456e-05,4.456e-05,557,,,,,,,,,,,,,,,
,,557,0.01096384972333908,0,,,,,,,,,,,,,
4.952e-05,4.952e-05,619,,,,,,,,,,,,,,,
4.952e-05,4.952e-05,619,,,,,,,,,,,,,,,
4.952e-05,4.952e-05,619,,,,,,,,,,,,,,,
4.952e-05,4.952e-05,619,,,,,,,,,,,,,,,
4.952e-05,4.952e-05,619,,,,,,,,,,,,,,,
4.952e-05,4.952e-05,619,,,,,,,,,,,,,,,
4.952e-05,4.952e-05,619,,,,,,,,,,,,,,,
4.952e-05,4.952e-05,619,,,,,,,,,,,,,,,
,,619,0.01290217973291874,0,,,,,,,,,,,,,
,,0,,,68.99115753173828,169.90548706054688,0.41151291131973267,,,,,,,,,,
,,1,,,46.796424865722656,123.9232177734375,0.5338119268417358,,,,,,,,,,
,,2,,,54.720970153808594,139.9698944091797,0.43654361367225647,,,,,,,,,,
,,3,,,48.328369140625,133.7853546142578,0.46679091453552246,,,,,,,,,,
,,4,,,48.643653869628906,132.41622924804688,0.4537104070186615,,,,,,,,,,
,,5,,,52.42036056518555,133.47225952148438,0.4846566617488861,,,,,,,,,,
,,6,,,55.12342071533203,142.43353271484375,0.4518226981163025,,,,,,,,,,
,,7,,,59.10805130004883,143.7873992919922,0.45570531487464905,,,,,,,,,,
,,8,,,48.30677795410156,129.068115234375,0.5083757638931274,,,,,,,,,,
,,9,,,52.826820373535156,141.4990997314453,0.448720782995224,,,,,,,,,,
,,10,,,53.136741638183594,128.62112426757812,0.5338162183761597,,,,,,,,,,
,,11,,,58.270179748535156,145.52235412597656,0.4489052891731262,,,,,,,,,,
,,12,,,62.96270751953125,152.27413940429688,0.46092113852500916,,,,,,,,,,
,,13,,,57.19377517700195,143.7504425048828,0.44276800751686096,,,,,,,,,,
,,14,,,51.08794403076172,131.87051391601562,0.4537893235683441,,,,,,,,,,
,,15,,,49.27238464355469,128.35269165039062,0.4958229959011078,,,,,,,,,,
,,16,,,57.75934982299805,138.19216918945312,0.5098484754562378,,,,,,,,,,
,,17,,,40.233299255371094,115.14826965332031,0.5263818502426147,,,,,,,,,,
,,18,,,51.886802673339844,140.18765258789062,0.46373480558395386,,,,,,,,,,
,,19,,,67.31192779541016,166.80477905273438,0.37502455711364746,,,,,,,,,,
,,20,,,59.017784118652344,149.47412109375,0.41710489988327026,,,,,,,,,,
,,21,,,57.3170051574707,149.82754516601562,0.4185860753059387,,,,,,,,,,
,,22,,,66.63582611083984,154.39492797851562,0.4599354863166809,,,,,,,,,,
,,23,,,58.30022048950195,146.42678833007812,0.42963385581970215,,,,,,,,,,
,,24,,,61.03165817260742,149.03623962402344,0.4084300100803375,,,,,,,,,,
,,25,,,62.82927322387695,156.81297302246094,0.4574281573295593,,,,,,,,,,
,,26,,,35.8455924987793,101.46580505371094,0.5647609233856201,,,,,,,,,,
,,27,,,51.0035400390625,132.0441131591797,0.48770779371261597,,,,,,,,,,
,,28,,,56.5327033996582,143.14825439453125,0.422003835439682,,,,,,,,,,
,,29,,,43.237510681152344,124.24098205566406,0.47588247060775757,,,,,,,,,,
,,30,,,58.43902587890625,140.1969451904297,0.4905393719673157,,,,,,,,,,
,,31,,,55.37708282470703,140.7025604248047,0.4628996253013611,,,,,,,,,,
,,32,,,52.04583740234375,141.6059112548828,0.40343132615089417,,,,,,,,,,
,,33,,,52.1973991394043,132.075439453125,0.5139530897140503,,,,,,,,,,
,,34,,,47.259368896484375,127.36732482910156,0.48638492822647095,,,,,,,,,,
,,35,,,49.64427947998047,130.78457641601562,0.48413190245628357,,,,,,,,,,
,,36,,,44.52815246582031,126.1173324584961,0.46638599038124084,,,,,,,,,,
,,37,,,54.4830436706543,138.35623168945312,0.4503616392612457,,,,,,,,,,
,,38,,,57.874473571777344,143.55661010742188,0.4406247138977051,,,,,,,,,,
,,39,,,32.77621841430664,103.932861328125,0.5181131362915039,,,,,,,,,,
,,40,,,57.2259635925293,140.7655487060547,0.4811466336250305,,,,,,,,,,
,,41,,,45.22454071044922,121.07252502441406,0.5117216110229492,,,,,,,,,,
,,42,,,52.25908279418945,134.35867309570312,0.4863809645175934,,,,,,,,,,
,,43,,,50.63331985473633,133.78079223632812,0.45102357864379883,,,,,,,,,,
